Wall time,Step,Value
1712040295.4593227,5,0.6107056140899658
1712040308.1366751,10,0.6447688341140747
1712040321.2381175,15,0.712895393371582
1712040334.7024913,20,0.7031630277633667
1712040347.0695431,25,0.7226277589797974
1712040360.4137092,30,0.7104622721672058
1712040373.2573168,35,0.7445255517959595
1712040385.9207935,40,0.7566909790039062
1712040399.0218322,45,0.7664233446121216
1712040411.856621,50,0.7834550142288208
1712040423.373466,55,0.7712895274162292
1712040434.7497244,60,0.7737226486206055
1712040446.247344,65,0.7956204414367676
1712040457.8346696,70,0.7883211970329285
1712040469.4155984,75,0.7858880758285522
1712040480.8934932,80,0.7883211970329285
1712040492.154532,85,0.7761557102203369
1712040504.5158179,90,0.7883211970329285
1712040516.2619867,95,0.7810218930244446
1712040528.1277702,100,0.8053528070449829
1712040539.3268104,105,0.8029196858406067
1712040551.0363624,110,0.8102189898490906
1712040563.2290359,115,0.8029196858406067
1712040576.0945852,120,0.7956204414367676
1712040588.137295,125,0.8004866242408752
1712040599.7415123,130,0.7907542586326599
1712040611.3410654,135,0.8029196858406067
1712040622.9007304,140,0.8077858686447144
1712040635.184305,145,0.8102189898490906
1712040647.9238813,150,0.8199513554573059
1712040660.5282495,155,0.8053528070449829
1712040673.1844053,160,0.8102189898490906
1712040685.8026843,165,0.8223844170570374
1712040699.012567,170,0.8077858686447144
1712040712.7923508,175,0.8248175382614136
1712040725.2759528,180,0.798053503036499
1712040737.9613495,185,0.798053503036499
1712040750.374674,190,0.8102189898490906
1712040762.8363996,195,0.8053528070449829
1712040775.4735234,200,0.8029196858406067
