Wall time,Step,Value
1712112002.5573988,5,0.5523114204406738
1712112005.7192788,10,0.639902651309967
1712112008.7528925,15,0.6423357725143433
1712112011.5508122,20,0.65450119972229
1712112014.3503437,25,0.6569343209266663
1712112017.0945551,30,0.6812652349472046
1712112020.0445638,35,0.6958637237548828
1712112023.0969112,40,0.698296844959259
1712112025.779272,45,0.6788321137428284
1712112028.4235697,50,0.698296844959259
1712112031.0869575,55,0.6909975409507751
1712112033.7421434,60,0.7104622721672058
1712112036.4176843,65,0.7104622721672058
1712112039.1126885,70,0.7226277589797974
1712112041.7666078,75,0.7104622721672058
1712112044.4444494,80,0.7177615761756897
1712112047.092582,85,0.727493941783905
1712112049.7752132,90,0.7201946377754211
1712112052.4610004,95,0.7226277589797974
1712112055.217094,100,0.7396593689918518
1712112057.9124153,105,0.7347931861877441
1712112060.5903842,110,0.7201946377754211
1712112063.361139,115,0.7372262477874756
1712112066.1403308,120,0.7445255517959595
1712112068.9046848,125,0.7153284549713135
1712112071.6394405,130,0.7493917346000671
1712112074.3946717,135,0.7299270033836365
1712112077.1945999,140,0.7420924305915833
1712112079.8607175,145,0.7493917346000671
1712112082.566976,150,0.7153284549713135
1712112085.737854,155,0.7226277589797974
1712112089.2460063,160,0.7396593689918518
1712112092.274802,165,0.7372262477874756
1712112095.3157053,170,0.7153284549713135
1712112098.1022239,175,0.7323601245880127
1712112100.8398633,180,0.7299270033836365
1712112103.5584736,185,0.7250608205795288
1712112106.3191836,190,0.7469586133956909
1712112109.077482,195,0.7250608205795288
1712112111.846055,200,0.7420924305915833
