Wall time,Step,Value
1712127085.5530303,5,0.6496350169181824
1712127088.2414017,10,0.6885644793510437
1712127090.94921,15,0.712895393371582
1712127093.708805,20,0.7372262477874756
1712127096.4253542,25,0.712895393371582
1712127099.162902,30,0.7518247961997986
1712127101.8708577,35,0.727493941783905
1712127104.5820127,40,0.7737226486206055
1712127107.273031,45,0.7566909790039062
1712127109.9835718,50,0.7639902830123901
1712127112.6885495,55,0.7677858686447144
1712127115.399241,60,0.7631873202323914
1712127118.112251,65,0.7610218930244446
1712127120.8048394,70,0.770851726531982
1712127123.5213983,75,0.7629196858406067
1712127126.2289824,80,0.772652051448822
1712127128.9287107,85,0.777250599861145
1712127131.6276047,90,0.7631873202323914
1712127134.3334146,95,0.7729196858406067
1712127137.0449855,100,0.7845499038696289
1712127139.766626,105,0.7804866242408752
1712127142.4564548,110,0.7804866242408752
1712127145.1695044,115,0.7802189898490906
1712127147.8649325,120,0.7977858686447144
1712127150.5647607,125,0.7875182342529297
1712127153.272414,130,0.7977858686447144
1712127155.9787881,135,0.7904866242408752
1712127158.6862695,140,0.7950851726531982
1712127161.4146476,145,0.7904866242408752
1712127164.1354434,150,0.7850851726531982
1712127166.8356068,155,0.798053503036499
1712127169.5550861,160,0.7853528070449829
1712127172.243954,165,0.7823844170570374
1712127174.956479,170,0.782652051448822
1712127177.6589122,175,0.7902189898490906
1712127180.342577,180,0.788053503036499
1712127183.0507963,185,0.7858880758285522
1712127185.7534359,190,0.7923844170570374
1712127188.48304,195,0.7975182342529297
1712127191.2066982,200,0.7989880758285522
