Wall time,Step,Value
1703733430.7941597,5,0.6180048584938049
1703733442.2908058,10,0.6739659309387207
1703733453.604112,15,0.698296844959259
1703733465.1036756,20,0.7299270033836365
1703733476.856792,25,0.7518247961997986
1703733491.0655787,30,0.7323601245880127
1703733513.6827285,35,0.7347931861877441
1703733535.9030018,40,0.7201946377754211
1703733554.8036857,45,0.7323601245880127
1703733577.3961315,50,0.7347931861877441
1703733600.242823,55,0.7493917346000671
1703733619.461659,60,0.7445255517959595
1703733642.6316671,65,0.7250608205795288
1703733664.0295043,70,0.727493941783905
1703733684.043089,75,0.7396593689918518
1703733705.3494542,80,0.7420924305915833
1703733725.9442546,85,0.7201946377754211
1703733744.8581405,90,0.7664233446121216
1703733764.6995506,95,0.7737226486206055
1703733782.4434195,100,0.7761557102203369
1703733803.154473,105,0.7615571618080139
1703733823.1299055,110,0.7712895274162292
1703733841.930373,115,0.7639902830123901
1703733861.9148827,120,0.7931873202323914
1703733881.7994323,125,0.7834550142288208
1703733899.751299,130,0.7737226486206055
1703733920.0917864,135,0.7761557102203369
1703733939.222213,140,0.7810218930244446
1703733958.549889,145,0.7737226486206055
1703733978.6591043,150,0.8077858686447144
1703733997.083667,155,0.7834550142288208
1703734017.1428938,160,0.7931873202323914
1703734037.5331445,165,0.8077858686447144
1703734055.7924786,170,0.7883211970329285
1703734076.3880222,175,0.8029196858406067
1703734097.253279,180,0.7883211970329285
1703734116.5179193,185,0.7956204414367676
1703734138.9563065,190,0.7834550142288208
1703734160.97829,195,0.7956204414367676
1703734182.9949985,200,0.8053528070449829
