Wall time,Step,Value
1703662069.7365959,5,0.6569343209266663
1703662071.7026093,10,0.6958637237548828
1703662073.6743877,15,0.6861313581466675
1703662075.7498083,20,0.7250608205795288
1703662077.8623743,25,0.7226277589797974
1703662079.8304036,30,0.7566909790039062
1703662081.7960896,35,0.7396593689918518
1703662083.770266,40,0.7810218930244446
1703662085.7314887,45,0.7250608205795288
1703662087.7008526,50,0.7566909790039062
1703662089.6704617,55,0.7566909790039062
1703662091.6302443,60,0.7737226486206055
1703662093.6102421,65,0.7591241002082825
1703662095.585845,70,0.7445255517959595
1703662097.5592794,75,0.7664233446121216
1703662099.5279517,80,0.7761557102203369
1703662101.504062,85,0.7883211970329285
1703662103.498196,90,0.7615571618080139
1703662105.462105,95,0.7883211970329285
1703662107.4289906,100,0.7883211970329285
1703662109.4095798,105,0.7737226486206055
1703662111.3704386,110,0.8029196858406067
1703662113.347115,115,0.8150851726531982
1703662115.3047574,120,0.798053503036499
1703662117.27568,125,0.8053528070449829
1703662119.2398834,130,0.8053528070449829
1703662121.3514504,135,0.798053503036499
1703662123.331067,140,0.7956204414367676
1703662125.2902343,145,0.8150851726531982
1703662127.263073,150,0.7931873202323914
1703662129.235834,155,0.8223844170570374
1703662131.2044373,160,0.8077858686447144
1703662133.1833274,165,0.798053503036499
1703662135.1546373,170,0.8102189898490906
1703662137.1269946,175,0.8199513554573059
1703662139.0984073,180,0.8175182342529297
1703662141.0882463,185,0.8175182342529297
1703662143.0624938,190,0.8321167826652527
1703662145.0296342,195,0.8029196858406067
1703662147.0150013,200,0.8175182342529297
